#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,instance,job,user
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:48.406Z,84430848,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:53.407Z,84447232,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:58.406Z,84463616,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:03.407Z,84471808,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:08.407Z,84480000,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:13.406Z,84480000,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:18.407Z,84488192,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:23.407Z,84496384,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:28.407Z,84504576,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:33.407Z,84557824,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:38.407Z,85172224,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:43.406Z,85401600,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:48.407Z,85417984,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:53.407Z,85417984,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:20:58.407Z,85426176,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:03.407Z,85442560,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:08.407Z,85450752,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:13.406Z,85450752,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:18.405Z,85458944,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:23.407Z,85827584,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:28.406Z,85876736,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:33.406Z,86044672,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:38.406Z,86102016,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:43.405Z,86175744,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:48.406Z,86208512,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
