"Time","TARGET"
2023-11-08 10:57:45,11.1 GB
2023-11-08 10:58:00,11.2 GB
2023-11-08 10:58:15,11.4 GB
2023-11-08 10:58:30,11.5 GB
2023-11-08 10:58:45,11.6 GB
2023-11-08 10:59:00,11.8 GB
2023-11-08 10:59:15,12.0 GB
2023-11-08 10:59:30,12.2 GB
2023-11-08 10:59:45,12.4 GB
2023-11-08 11:00:00,12.5 GB
2023-11-08 11:00:15,12.7 GB
2023-11-08 11:00:30,13.0 GB
2023-11-08 11:00:45,13.2 GB
2023-11-08 11:01:00,13.2 GB
2023-11-08 11:01:15,13.2 GB
2023-11-08 11:01:30,13.4 GB
2023-11-08 11:01:45,13.5 GB
2023-11-08 11:02:00,13.6 GB
2023-11-08 11:02:15,13.7 GB
2023-11-08 11:02:30,13.8 GB
2023-11-08 11:02:45,14.0 GB
2023-11-08 11:03:00,14.1 GB
2023-11-08 11:03:15,14.2 GB
2023-11-08 11:03:30,14.3 GB
2023-11-08 11:03:45,14.5 GB
2023-11-08 11:04:00,14.6 GB
2023-11-08 11:04:15,14.7 GB
2023-11-08 11:04:30,14.8 GB
2023-11-08 11:04:45,14.9 GB
2023-11-08 11:05:00,15.0 GB
2023-11-08 11:05:15,15.1 GB
2023-11-08 11:05:30,15.2 GB
2023-11-08 11:05:45,15.3 GB
2023-11-08 11:06:00,15.4 GB
2023-11-08 11:06:15,15.5 GB
2023-11-08 11:06:30,15.6 GB
2023-11-08 11:06:45,15.7 GB
2023-11-08 11:07:00,15.8 GB
2023-11-08 11:07:15,16.0 GB
2023-11-08 11:07:30,16.2 GB
2023-11-08 11:07:45,16.3 GB
2023-11-08 11:08:00,10.2 GB
2023-11-08 11:08:15,10.2 GB
2023-11-08 11:08:30,10.2 GB
2023-11-08 11:08:45,10.2 GB
2023-11-08 11:09:00,10.2 GB
2023-11-08 11:09:15,10.2 GB
2023-11-08 11:09:30,10.2 GB
2023-11-08 11:09:45,10.2 GB
2023-11-08 11:10:00,10.2 GB
2023-11-08 11:10:15,10.2 GB
2023-11-08 11:10:30,10.2 GB
2023-11-08 11:10:45,10.2 GB
2023-11-08 11:11:00,10.2 GB
2023-11-08 11:11:15,10.2 GB
2023-11-08 11:11:30,10.2 GB
